Designator,Mid X,Mid Y,Rotation,Layer
R60,177.292,-95.377,180.0,bottom
R61,177.165,-85.217,180.0,bottom
R62,110.617,-85.979,180.0,top
R63,110.512382,-83.439,0.0,bottom
R64,110.512382,-85.09,0.0,bottom
R65,109.982,-79.248,0.0,bottom
R66,118.618,-60.452,270.0,bottom
R7,139.827,-64.262,0.0,top
R71,118.6688,-84.0102,90.0,bottom
R72,120.7008,-84.0102,90.0,bottom
R8,115.951,-73.534,90.0,bottom
R9,153.6192,-71.12,180.0,bottom
SW1,106.2492,-61.9705,90.0,top
TH1,179.832,-75.946,90.0,top
TH2,140.843,-77.47,270.0,top
TP1,186.055,-51.562,0.0,top
TP2,186.055,-61.468,0.0,top
TP3,186.055,-71.374,0.0,top
TP4,186.055,-81.407,0.0,top
TP5,186.055,-91.186,0.0,top
TP6,186.055,-101.219,0.0,top
U1,123.952,-76.2,0.0,top
U2,146.812,-68.326,0.0,top
U3,146.812,-90.678,0.0,top
U5,118.41,-101.637,180.0,top
Y1,107.442,-73.8124,270.0,top
